name,asset_idx,asset,family,lookback,mode,lag_signal,threshold,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_positive_count,corr_to_market,vol_window,z_window,leader,lag,train_corr,abs_corr_to_market
RRES_market_spread_z_w20_momentum_e1.0,24,RRES,market_spread_z,,momentum,,1.0,19.64438832800001,175.6704340856406,1.7681122802663094,14.883521627361013,-477.6438599999983,11.065482064036761,9.363270872953983,-1.1438546599999972,1,14,-0.1397650294861837,,20.0,,,,0.1397650294861837
ACAC_own_z_l2_v40_reversal_e0.5,27,ACAC,own_return_z,2.0,reversal,,0.5,19.699925519999965,179.9968781166686,1.7304920793820107,14.7682899294735,-440.7592590000004,15.374483900073189,8.962901452652595,-1.1755463000000055,1,14,0.1446619243535965,40.0,,,,,0.1446619243535965
SRNA_relative_return_w10_momentum_cur,3,SRNA,relative_return,10.0,momentum,False,0.0,13.053021588000087,155.67426159891141,1.3257579686415195,8.319608567292192,-462.9617269999999,15.09555065751304,17.74944179346958,-1.191835939999928,1,14,0.12495339545889346,,,,,,0.12495339545889346
ULXY_own_z_l20_v60_reversal_e0.5,40,ULXY,own_return_z,20.0,reversal,,0.5,24.876330556000074,289.71357854119543,1.357648902414446,16.126950168392938,-846.6058790000025,13.08579347614044,9.068581463275525,-1.1998092800000812,1,14,0.1279618087484084,60.0,,,,,0.1279618087484084
SRNA_market_spread_z_w20_momentum_e1.0,3,SRNA,market_spread_z,,momentum,,1.0,10.641220527999998,128.29736601020602,1.311425752495288,6.7287733648346135,-462.9617269999999,16.960318129128655,19.730526655055307,-1.2768163399999686,1,14,0.09864255283736223,,20.0,,,,0.09864255283736223
MTNS_lead1_ELLT_corr+1,4,ELLT,lead_lag,,momentum,,,11.749175319999965,170.6797102541676,1.0884174394399158,6.371123113016112,-427.8203199999989,14.012957227605394,14.099803505496524,-1.2882758800001102,1,14,0.03477965673095986,,,MTNS,1.0,0.158230844179617,0.03477965673095986
GARI_absolute_return_w40_reversal_lag,29,GARI,absolute_return,40.0,reversal,True,0.0,22.95924230799999,222.8260950601333,1.6291516266393264,16.676156935916556,-584.4488799999999,17.648725965781797,14.085078236641388,-1.4214179300000616,1,14,-0.07417086046849888,,,,,,0.07417086046849888
MDGI_absolute_return_w5_reversal_cur,22,MDGI,absolute_return,5.0,reversal,False,0.0,13.672050452000018,213.5704963665607,1.0121908327367648,6.91885413066434,-579.3804289999998,9.804254443526144,4.269162189594631,-1.4700540299999556,1,14,-0.012303546196884495,,,,,,0.012303546196884495
GARI_absolute_return_w2_reversal_cur,29,GARI,absolute_return,2.0,reversal,False,0.0,26.004190008000027,221.26325809077747,1.8582495314096577,20.16460843789815,-584.4488799999999,8.611925837047213,5.664218916176086,-1.5028344299999117,1,14,0.1193879570913615,,,,,,0.1193879570913615
FWWG_absolute_return_w40_reversal_lag,36,FWWG,absolute_return,40.0,reversal,True,0.0,11.431017223999955,145.94732816443155,1.2383937018610174,6.919282270631196,-429.06883000000016,13.82661183200264,14.979640650899652,-1.7653695800000424,1,14,-0.1369275198436258,,,,,,0.1369275198436258
