up_threshold,down_threshold,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe
0.0025,0.0,704.4521903847353,818.6485241543995,5211.560770030868,2.4837031109280705,103039399.26999995,118.52827887900287,658.1473424583891,"[np.float64(1719.7740279879215), np.float64(118.52827887900287), np.float64(120.55289782436134), np.float64(673.7341651422706)]",2.4232574727850453
0.0025,0.0005,711.5167014842787,824.9919144415995,5209.279386326337,2.5040445207317017,103032787.35999994,118.52827887900287,662.5731826667993,"[np.float64(1719.7740279879215), np.float64(118.52827887900287), np.float64(120.55289782436134), np.float64(691.4375259759113)]",2.4360079514293487
0.0025,0.001,672.2949179314811,789.0357314464012,5198.740245944242,2.3997641241781063,101939581.47999993,50.28361356304243,622.6009888945273,"[np.float64(1719.7740279879215), np.float64(88.68437914199752), np.float64(50.28361356304243), np.float64(631.6619348851473)]",2.304659634824721
0.0025,0.0015,746.0094287947989,854.1600373944016,5142.230958113935,2.6263806764638282,101924076.72999994,183.048243782231,696.4397462626447,"[np.float64(1733.388200487762), np.float64(237.66060589543835), np.float64(183.048243782231), np.float64(631.6619348851473)]",2.5523831290886454
0.0025,0.002,716.319838333729,826.7562690136014,5132.750954155331,2.546814469723394,101899585.16999994,117.16090662302747,661.1627492228345,"[np.float64(1733.388200487762), np.float64(237.66060589543835), np.float64(117.16090662302747), np.float64(556.4412838851097)]",2.451180703223194
0.0025,0.0025,696.0808434358181,808.1208723344012,5126.289083791773,2.4925463035032602,101884638.97999994,117.16090662302747,649.2159399678603,"[np.float64(1685.6009634678658), np.float64(237.66060589543835), np.float64(117.16090662302747), np.float64(556.4412838851097)]",2.4165598828802652
0.0025,0.003,669.3450075299838,783.6771193456017,5121.135534011794,2.4195851006410773,101833576.57999995,57.64223681458839,622.1499473944377,"[np.float64(1704.538612932362), np.float64(233.91506051854964), np.float64(57.64223681458839), np.float64(492.5038793122511)]",2.3313171719635415
0.0025,0.004,680.4508781406445,785.2708825528044,4873.188335965125,2.5478643527386255,100674529.56999996,270.85868288570384,684.0653653134634,"[np.float64(1441.09040249702), np.float64(270.85868288570384), np.float64(331.9523164549946), np.float64(692.3600594161355)]",2.604077967525683
0.0025,0.005,726.2927272024061,822.8087394976043,4742.558947332474,2.743191728769217,100584277.59999996,157.5487714405135,684.1587066471889,"[np.float64(1379.3959491996193), np.float64(157.5487714405135), np.float64(315.2440197965857), np.float64(884.446086152037)]",2.6662411398921537
0.0025,0.0075,748.8997956854469,832.9305955008035,4411.499272427413,2.985331802144454,100392624.64,272.13854080167516,704.3552123021693,"[np.float64(1410.898945086412), np.float64(359.537550772247), np.float64(272.13854080167516), np.float64(774.845812548343)]",2.8944068788523087
