day,daily_pl,cumulative_pl
287,-1747.3638470000005,167711.92027600014
288,464.07965400003013,168175.99993000017
289,1217.5747139999585,169393.57464400012
290,2896.734884000005,172290.30952800013
291,701.512652000034,172991.82218000016
292,422.9393240000063,173414.76150400017
293,1097.5179300000018,174512.27943400017
294,2168.169812999986,176680.44924700016
295,243.97763400000986,176924.42688100017
296,2037.3128809999616,178961.73976200013
297,2693.9775500000396,181655.71731200017
298,827.1923430000024,182482.90965500017
299,1318.183332000015,183801.0929870002
300,-997.2757580000034,182803.81722900018
301,1124.6198790000344,183928.43710800022
302,-1201.7396149999986,182726.69749300022
303,-736.5290070000046,181990.1684860002
304,1658.0188759999583,183648.18736200017
305,1122.5327200000174,184770.7200820002
306,734.8018830000365,185505.52196500023
307,-613.7827950000064,184891.73917000022
308,2815.8755999999703,187707.6147700002
309,621.5116160000325,188329.12638600022
310,1082.9821630000079,189412.10854900023
311,1698.0470529999875,191110.15560200022
312,1132.785848999949,192242.94145100017
313,377.51768800002174,192620.4591390002
314,541.65069400004,193162.10983300023
315,2233.128076999972,195395.2379100002
316,409.29013399998075,195804.52804400018
317,-156.9276869999885,195647.6003570002
318,2084.7910839999677,197732.39144100016
319,1576.5424850000127,199308.93392600017
320,-1110.2680940000282,198198.66583200014
321,1776.5982630000217,199975.26409500017
322,-282.1929560000135,199693.07113900015
323,2449.8772910000116,202142.94843000016
324,-1284.4192669999902,200858.52916300017
325,531.8363500000269,201390.3655130002
326,906.1715930000355,202296.53710600024
327,550.2540039999585,202846.7911100002
328,3306.8647310000088,206153.6558410002
329,1925.689297999983,208079.3451390002
330,-96.6267049999733,207982.7184340002
331,1751.2166819999693,209733.93511600018
332,-2176.4613329999847,207557.4737830002
333,1204.5697059999802,208762.04348900018
334,1030.7323630000174,209792.7758520002
335,1425.3691150000086,211218.1449670002
336,1474.7383109999646,212692.88327800017
337,57.618241999996826,212750.50152000017
338,642.0617599999823,213392.56328000015
339,1687.9382379999734,215080.50151800012
340,913.1679489999951,215993.66946700012
341,489.88412200001767,216483.55358900013
342,23.225092999986373,216506.77868200012
343,144.7560409999569,216651.53472300008
344,2424.4637930000026,219075.99851600008
345,677.0228800000041,219753.02139600008
346,1139.6908870000043,220892.7122830001
347,-175.27891900000395,220717.43336400008
348,853.9177719999861,221571.35113600007
349,-955.5614789999963,220615.78965700007
350,2174.8953979999933,222790.68505500007
351,-730.6316490000172,222060.05340600005
352,971.8502359999984,223031.90364200005
353,3760.89942099998,226792.80306300003
354,252.59733500002767,227045.40039800006
355,2245.0601170000155,229290.46051500007
356,2018.420539999992,231308.88105500006
357,2331.611956000008,233640.49301100007
358,-892.3363580000296,232748.15665300004
359,351.1368650000077,233099.29351800005
360,-561.3039440000139,232537.98957400004
361,154.95890800000052,232692.94848200004
362,-427.1568370000459,232265.791645
363,-252.41659400000935,232013.37505099998
