kind,max_depth,min_samples_leaf,ccp_alpha,prob_threshold,train_val_score,train_val_mean,train_val_sharpe
day_tree,1,80,0.001,0.65,0.0,0.0,0.0
day_tree,1,80,0.001,0.6,0.0,0.0,0.0
day_tree,2,80,0.0,0.6,0.0,0.0,0.0
day_tree,2,80,0.0,0.65,0.0,0.0,0.0
day_tree,1,80,0.0,0.65,0.0,0.0,0.0
day_tree,1,80,0.0,0.6,0.0,0.0,0.0
day_tree,2,80,0.001,0.6,0.0,0.0,0.0
day_tree,2,80,0.001,0.65,0.0,0.0,0.0
day_tree,1,60,0.01,0.65,0.0,0.0,0.0
day_tree,2,80,0.003,0.6,0.0,0.0,0.0
day_tree,2,80,0.003,0.65,0.0,0.0,0.0
day_tree,2,60,0.0,0.65,0.0,0.0,0.0
day_tree,2,80,0.01,0.6,0.0,0.0,0.0
day_tree,2,80,0.01,0.65,0.0,0.0,0.0
day_tree,1,60,0.003,0.65,0.0,0.0,0.0
day_tree,1,60,0.001,0.65,0.0,0.0,0.0
day_tree,1,60,0.0,0.65,0.0,0.0,0.0
day_tree,3,80,0.01,0.65,0.0,0.0,0.0
