asset_idx,asset,variant,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,full_q05,full_q95,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_mean_std,roll_mean_worst_day
26,ALUT,gate20_loose,22.112477671999923,173.75084254814925,2.012243311388831,17.73300879386938,-583.6965220000002,-231.65264660000156,298.2151497000007,11.527687654152098,8.760795668528129,-25.146011620000092,6,174.27455545114202,-461.6173449333334
27,ACAC,raw,20.46498573200003,169.2918863356919,1.9113723816521802,16.06707660366364,-455.2937749999983,-293.14816489999976,313.34970704999995,10.395555770403785,1.8138540363394362,-13.732159129999983,6,165.71175246629596,-392.7382481999993
27,ACAC,gate20,16.977401992000043,148.09461863241282,1.8125999291121297,13.0158272187149,-455.2937750000001,-263.3910859500011,277.63154609999935,10.09884763794432,1.5716975548947885,-10.721957640000037,5,126.51834000647646,-382.9131320666663
27,ACAC,gate20_loose,20.46498573200003,169.2918863356919,1.9113723816521802,16.06707660366364,-455.2937749999983,-293.14816489999976,313.34970704999995,10.395555770403785,1.8138540363394362,-13.732159129999983,6,165.71175246629596,-392.7382481999993
28,SRTX,raw,18.333393580000024,161.76767389495188,1.791930351633672,13.979717267507768,-413.20587200000045,-252.87601230000075,290.46015685000106,7.962611104677545,4.426412476751428,-3.6550203399999917,2,166.36964103584944,-461.4024860666666
28,SRTX,gate20,14.408865807999975,134.12120337112827,1.6986439618693012,10.700393568948932,-413.20587200000045,-194.775431249999,261.85260780000044,5.69143781108343,4.0886557604636025,-3.170935590000039,2,128.45589790706103,-421.74729466666696
28,SRTX,gate20_loose,18.333393580000024,161.76767389495188,1.791930351633672,13.979717267507768,-413.20587200000045,-252.87601230000075,290.46015685000106,7.962611104677545,4.426412476751428,-3.6550203399999917,2,166.36964103584944,-461.4024860666666
29,GARI,raw,12.203581115999972,195.74397250905662,0.9857547959846857,6.014250264880583,-585.4294600000012,-332.1948495999999,347.4775412499994,0.5538456801698526,2.4845283981522783,-23.13013033000003,5,190.33024468128147,-511.8926049333338
29,GARI,gate20,-1.6737551199999934,166.09536975004792,-0.1593325097663325,-1.6737551199999934,-585.4294599999994,-308.7340180500009,309.3177097499999,-6.080203410892188,-6.515985609999934,-22.92694569000002,10,135.19701615575644,-473.5691716666667
29,GARI,gate20_loose,12.203581115999972,195.74397250905662,0.9857547959846857,6.014250264880583,-585.4294600000012,-332.1948495999999,347.4775412499994,0.5538456801698526,2.4845283981522783,-23.13013033000003,5,190.33024468128147,-511.8926049333338
30,RCRI,raw,24.428308144000074,296.88258549444623,1.3010041156645378,15.355961001422447,-697.9967059999999,-455.4688082999988,563.3271460500006,4.458380971358973,0.6000546264242056,-41.1778447900001,6,289.83094348711535,-731.5008661333334
30,RCRI,gate20,14.859611976000032,249.56038652188295,0.9414598936429165,6.982156718631224,-697.9967059999999,-428.3068048000008,488.1453695000005,-7.959345155492642,-11.388238080000047,-46.50965850000006,8,223.247312387687,-730.9280781333335
30,RCRI,gate20_loose,24.428308144000074,296.88258549444623,1.3010041156645378,15.355961001422447,-697.9967059999999,-455.4688082999988,563.3271460500006,4.458380971358973,0.6000546264242056,-41.1778447900001,6,289.83094348711535,-731.5008661333334
31,ACIX,raw,10.910013403999917,137.55371674206694,1.2540734077109639,6.669327381786171,-400.58008399999926,-219.11209634999977,259.7402282000008,-1.0637722975508392,0.1829117104006468,-28.497786619999914,7,137.93666935409607,-363.11688026666627
31,ACIX,gate20,2.49146023599997,111.31832820717435,0.35388103524324976,0.2772851082155211,-350.7077389999995,-185.9078991999999,201.58408365000116,-0.9018001022966956,0.3324885324058755,-7.428158529999945,7,97.82683479198629,-321.4461932666666
31,ACIX,gate20_loose,10.910013403999917,137.55371674206694,1.2540734077109639,6.669327381786171,-400.58008399999926,-219.11209634999977,259.7402282000008,-1.0637722975508392,0.1829117104006468,-28.497786619999914,7,137.93666935409607,-363.11688026666627
32,CCNS,raw,4.607542383999978,184.55255179884887,0.39474740953684734,0.6211773878200622,-823.4460039999994,-306.95520420000156,315.4705781999986,-2.9334625077798075,0.2901652469489826,-25.910031850000095,7,191.05913415106795,-584.039447666666
32,CCNS,gate20,1.135649536000004,146.64586192519764,0.122445976665378,0.016775300656857797,-823.4460039999994,-261.9375561500004,245.05533034999996,1.4600893751980066,-1.3167428599999411,-11.424666179999967,8,132.41162964670085,-510.3491896
32,CCNS,gate20_loose,4.607542383999978,184.55255179884887,0.39474740953684734,0.6211773878200622,-823.4460039999994,-306.95520420000156,315.4705781999986,-2.9334625077798075,0.2901652469489826,-25.910031850000095,7,191.05913415106795,-584.039447666666
33,MTNS,raw,25.78805218800005,160.55487660160742,2.5395983933804853,22.326364223989497,-457.5098930000004,-228.09614910000045,305.4328936000006,11.093715339565422,12.401881849038142,-9.781790830000045,1,164.92503789160858,-488.31617693333305
33,MTNS,gate20,22.188642096000105,132.82189693162067,2.6413810083504528,19.407027708037525,-457.5098930000004,-177.29425800000016,273.06023765000253,5.7458903622661515,4.368853310630192,-12.19068463999999,4,124.84048250871501,-441.7197899999994
33,MTNS,gate20_loose,25.78805218800005,160.55487660160742,2.5395983933804853,22.326364223989497,-457.5098930000004,-228.09614910000045,305.4328936000006,11.093715339565422,12.401881849038142,-9.781790830000045,1,164.92503789160858,-488.31617693333305
34,IHOZ,raw,-0.6891917759999924,156.56357684798374,-0.0696016212932035,-0.6891917759999924,-369.0332039999994,-265.28421884999966,277.52363989999947,-2.751540314731505,-1.9005930999999328,-22.057836020000003,8,158.35302710116588,-437.90386779999943
34,IHOZ,gate20,-1.8039544959999976,111.6624338221072,-0.25543975746352077,-1.8039544959999976,-344.94461299999966,-192.69907410000005,216.8075791999982,-1.680192519368125,-1.0574446500000512,-8.269567740000008,8,104.98088758106358,-380.8760302666664
34,IHOZ,gate20_loose,-0.6891917759999924,156.56357684798374,-0.0696016212932035,-0.6891917759999924,-369.0332039999994,-265.28421884999966,277.52363989999947,-2.751540314731505,-1.9005930999999328,-22.057836020000003,8,158.35302710116588,-437.90386779999943
35,NAYO,raw,29.780232527999885,290.16223367148075,1.6227708693567617,21.58395547100035,-689.3364670000028,-497.5313893500008,519.7513259499996,0.38439478442060326,1.6007242674863964,-47.76793844999984,4,280.84340556643576,-702.5268926666668
35,NAYO,gate20,-8.245208780000064,242.89825658415555,-0.5367193633887775,-8.245208780000064,-689.3364670000028,-495.15439434999905,465.39375920000174,-6.809659038573771,0.010093472607444443,-39.14217795000007,7,199.82820088717838,-593.7108046000006
