kind,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe,low_scale,mid_cut,mid_scale,high_cut,high_scale,cap_move,min_scale,max_scale,b
tier,311.76417025547653,394.77711384239933,3220.9336448797303,1.9379394074667184,71887155.56999998,50.54495824246025,302.51457478076384,"[np.float64(792.4732453561669), np.float64(92.0971446688994), np.float64(50.54495824246025), np.float64(274.9429508555289)]",1.878154677200295,0.25,0.003,0.5,0.015,1.0,,,,
tier,311.76417025547653,394.77711384239933,3220.9336448797303,1.9379394074667184,71887155.56999998,50.54495824246025,302.51457478076384,"[np.float64(792.4732453561669), np.float64(92.0971446688994), np.float64(50.54495824246025), np.float64(274.9429508555289)]",1.878154677200295,0.25,0.003,0.5,0.015,1.25,,,,
tier,505.17745500419505,570.8803690088014,3255.25825437785,2.7728709928273294,74124965.43,134.61040407000132,471.5157480055436,"[np.float64(1004.2368071396157), np.float64(246.20721742968004), np.float64(134.61040407000132), np.float64(501.00856338287747)]",2.67392571488769,0.25,0.003,0.75,0.005,0.75,,,,
tier,649.2440478439985,736.3153840639992,4263.512052431916,2.7306521727031843,97820820.56000002,163.60449548299948,597.8737675231123,"[np.float64(1303.1225972572781), np.float64(258.0333670564176), np.float64(163.60449548299948), np.float64(666.734610295754)]",2.6233693490791743,0.25,0.003,0.75,0.005,1.0,,,,
tier,649.2440478439985,736.3153840639992,4263.512052431916,2.7306521727031843,97820820.56000002,163.60449548299948,597.8737675231123,"[np.float64(1303.1225972572781), np.float64(258.0333670564176), np.float64(163.60449548299948), np.float64(666.734610295754)]",2.6233693490791743,0.25,0.003,0.75,0.005,1.25,,,,
tier,505.17745500419505,570.8803690088014,3255.25825437785,2.7728709928273294,74124965.43,134.61040407000132,471.5157480055436,"[np.float64(1004.2368071396157), np.float64(246.20721742968004), np.float64(134.61040407000132), np.float64(501.00856338287747)]",2.67392571488769,0.25,0.003,0.75,0.0075,0.75,,,,
tier,635.4242878544611,721.6499868608042,4203.229164335549,2.714648122536373,96373944.08,136.8344091670652,582.1997328107625,"[np.float64(1283.2748365603834), np.float64(259.57722135117837), np.float64(136.8344091670652), np.float64(649.1124641644229)]",2.5896869217311287,0.25,0.003,0.75,0.0075,1.0,,,,
tier,635.4242878544611,721.6499868608042,4203.229164335549,2.714648122536373,96373944.08,136.8344091670652,582.1997328107625,"[np.float64(1283.2748365603834), np.float64(259.57722135117837), np.float64(136.8344091670652), np.float64(649.1124641644229)]",2.5896869217311287,0.25,0.003,0.75,0.0075,1.25,,,,
tier,505.17745500419505,570.8803690088014,3255.25825437785,2.7728709928273294,74124965.43,134.61040407000132,471.5157480055436,"[np.float64(1004.2368071396157), np.float64(246.20721742968004), np.float64(134.61040407000132), np.float64(501.00856338287747)]",2.67392571488769,0.25,0.003,0.75,0.01,0.75,,,,
tier,582.2058633102369,665.4100357168043,3977.348226096659,2.6452439806410304,92455499.33999997,115.39136186323181,527.0906190483219,"[np.float64(1186.283239970503), np.float64(211.49970098165772), np.float64(115.39136186323181), np.float64(595.1881733778949)]",2.4843475100742776,0.25,0.003,0.75,0.01,1.0,,,,
tier,582.2058633102369,665.4100357168043,3977.348226096659,2.6452439806410304,92455499.33999997,115.39136186323181,527.0906190483219,"[np.float64(1186.283239970503), np.float64(211.49970098165772), np.float64(115.39136186323181), np.float64(595.1881733778949)]",2.4843475100742776,0.25,0.003,0.75,0.01,1.25,,,,
tier,505.17745500419505,570.8803690088014,3255.25825437785,2.7728709928273294,74124965.43,134.61040407000132,471.5157480055436,"[np.float64(1004.2368071396157), np.float64(246.20721742968004), np.float64(134.61040407000132), np.float64(501.00856338287747)]",2.67392571488769,0.25,0.003,0.75,0.0125,0.75,,,,
tier,544.7859759658392,628.311997952803,3889.943529029724,2.553889253036927,89181684.47,146.3306468615203,500.7026816688636,"[np.float64(1083.4372354492723), np.float64(195.02279796334207), np.float64(146.3306468615203), np.float64(578.0200464013196)]",2.4366810022833523,0.25,0.003,0.75,0.0125,1.0,,,,
tier,544.7859759658392,628.311997952803,3889.943529029724,2.553889253036927,89181684.47,146.3306468615203,500.7026816688636,"[np.float64(1083.4372354492723), np.float64(195.02279796334207), np.float64(146.3306468615203), np.float64(578.0200464013196)]",2.4366810022833523,0.25,0.003,0.75,0.0125,1.25,,,,
tier,505.17745500419505,570.8803690088014,3255.25825437785,2.7728709928273294,74124965.43,134.61040407000132,471.5157480055436,"[np.float64(1004.2368071396157), np.float64(246.20721742968004), np.float64(134.61040407000132), np.float64(501.00856338287747)]",2.67392571488769,0.25,0.003,0.75,0.015,0.75,,,,
tier,487.4267156504346,570.6296794280038,3727.684041525112,2.4203895332635903,85166673.23000002,103.25350352828508,457.4656380093893,"[np.float64(1061.1345395105034), np.float64(198.15501432304504), np.float64(103.25350352828508), np.float64(467.31949467572383)]",2.33039617046084,0.25,0.003,0.75,0.015,1.0,,,,
tier,487.4267156504346,570.6296794280038,3727.684041525112,2.4203895332635903,85166673.23000002,103.25350352828508,457.4656380093893,"[np.float64(1061.1345395105034), np.float64(198.15501432304504), np.float64(103.25350352828508), np.float64(467.31949467572383)]",2.33039617046084,0.25,0.003,0.75,0.015,1.25,,,,
tier,657.762301870018,746.6897016144013,4341.036856017306,2.719673019154391,98746403.49999999,156.9885912306491,611.0454099190422,"[np.float64(1325.6163169573429), np.float64(306.21371286407276), np.float64(156.9885912306491), np.float64(655.3630186241043)]",2.613339891614146,0.25,0.003,1.0,0.005,1.0,,,,
tier,657.762301870018,746.6897016144013,4341.036856017306,2.719673019154391,98746403.49999999,156.9885912306491,611.0454099190422,"[np.float64(1325.6163169573429), np.float64(306.21371286407276), np.float64(156.9885912306491), np.float64(655.3630186241043)]",2.613339891614146,0.25,0.003,1.0,0.005,1.25,,,,
