adds,removes,excluded,n_active,full_score,full_mean,full_std,full_sharpe,test_score,test_mean,test_std,test_sharpe,cv_mean_score,cv_min_score,cv_mean_sharpe
"AENO,FWWG,DIHO","SMAH,LSST,HRND","2,5,10,18,34,38",45,808.1159586425435,884.4789452111996,4298.947233428428,3.253084833865331,799.631949180799,874.2883781019889,4223.896294726497,3.2727396859488773,778.3828274400662,386.4571499602035,3.1649119935118875
"AENO,FWWG,DIHO","SMAH,HETT,ITPA","5,7,10,18,34,43",45,811.191629801542,888.4009995512059,4333.634860551624,3.241355957011148,796.4012840442753,872.0813245820115,4250.614240160866,3.2439585607648267,781.055863088342,399.4576119967295,3.1568119965436168
"AENO,FWWG,DIHO","SMAH,HETT,NPCK","5,7,10,11,18,34",45,805.7797929116427,883.1191131832031,4325.947832644912,3.22781035616361,797.6043834837327,873.7152401419962,4267.45995512022,3.23720692672774,780.5276265582315,426.3011798918823,3.160639290671852
"AENO,FWWG,DIHO","SMAH,HETT,CCNS","5,7,10,18,32,34",45,812.2027707200529,889.9024013952031,4352.007418062008,3.233126938137665,797.592566593897,873.7030164919992,4267.420460408533,3.237191596548087,778.6641288167355,389.14823410978124,3.14275490981926
"AENO,FWWG,DIHO","SMAH,HETT,HRND","5,7,10,18,34,38",45,811.3993532449077,888.3947459472031,4327.041159994721,3.2462724002875336,796.339540940447,872.2353559019964,4257.586353740503,3.239218363656485,778.1678391641929,376.0650748226953,3.1481422012269706
"AENO,FWWG,DIHO","SMAH,ITPA,NPCK","5,10,11,18,34,43",45,806.2963019086242,883.1025944791958,4309.553060178725,3.2400292642440296,789.4932337378049,864.8090377919912,4223.369470874952,3.2376593137076,778.7516902956352,404.88406372245936,3.16767083634051
"AENO,FWWG,DIHO","SMAH,ITPA,CCNS","5,10,18,32,34,43",45,812.7399754373808,889.8858826911999,4334.958618871723,3.2457821335166845,789.491252971909,864.7968141420023,4223.0278802243665,3.2378754338234983,776.895700084097,367.712606037012,3.1500315071945315
"AENO,FWWG,DIHO","SMAH,ITPA,HRND","5,10,18,34,38,43",45,811.8891451816665,888.3782272431957,4311.40943190867,3.2579817182283515,788.2032335690354,863.3291535519867,4214.2685454004295,3.2390988688051414,776.3251155182936,354.5052338870738,3.1543318093776853
"AENO,FWWG,DIHO","SMAH,NPCK,CCNS","5,10,11,18,32,34",45,807.3405222404654,884.6039963232008,4326.9078056359285,3.2325202908470554,790.7092119188734,866.4307297019964,4239.406949274648,3.2314596987307387,776.4016233592284,394.61472282056434,3.154340938109583
"AENO,FWWG,DIHO","SMAH,NPCK,HRND","5,10,11,18,34,38",45,806.5244522530827,883.0963408752051,4302.332781564271,3.245443777027809,789.4294541891799,864.9630691120087,4230.3961787077515,3.232857248796866,775.8777158105372,381.484354610047,3.159532932191711
