mname,abs_cap,gate,gate_th,max_scale,full_score,full_mean,full_std,full_sharpe,full_worst,full_q05,test_score,train_score,roll_mean,roll_median,roll_min,roll_neg_count
algo0.25,999.0,0,0.0,1.5,721.8636038510067,803.4027110472042,4269.319927570985,2.975394779923112,-11102.385807599989,-6035.078985520021,686.7026687248979,744.9709703744776,379.9355211508866,406.82372162413947,-262.81386767599497,3
algo0.25,999.0,20,0.0,1.5,541.0688875683238,630.0839830112085,4040.8617678384076,2.4654400694484937,-11102.385807599989,-6007.601038429996,483.84740948566605,579.0847479501433,340.08827350659874,198.5800947139938,-1.5764050520059845,1
algo0.25,999.0,20,-250.0,1.5,589.6270787881919,678.4268502408033,4162.845050746827,2.576812307955114,-11102.385807599989,-6035.078985520021,627.0715582862829,564.5220737609529,290.25871808788094,177.35492057368097,-222.80339661799022,4
algo0.25,999.0,40,0.0,1.5,692.2313640085878,773.9668620408047,4205.058974995694,2.9101828679403536,-11102.385807599989,-6035.078985520021,609.0799155303614,747.0603511905701,386.5234561491544,330.8652946838395,-217.5315726519991,4
algo0.25,999.0,40,-250.0,1.5,735.4697987535993,815.781966652804,4262.381889282784,3.026159030002436,-11102.385807599989,-6035.078985520021,686.7026687248979,767.602769329395,392.2369784234368,442.1401291030301,-221.26358149199746,3
algo0.25,999.0,40,-500.0,1.5,721.8636038510067,803.4027110472042,4269.319927570985,2.975394779923112,-11102.385807599989,-6035.078985520021,686.7026687248979,744.9709703744776,424.7892816690786,406.82372162413947,-210.91885826399434,1
algo0.25,0.01,0,0.0,1.5,417.7839287281383,470.55434693600256,2644.2298118670424,2.813718180872062,-10638.424466200115,-2719.735741260124,293.370017488862,498.37696405250693,222.5407194392707,293.370017488862,-310.41216843000615,4
algo0.25,0.01,20,0.0,1.5,313.96167814355056,368.0371590168007,2415.035661586585,2.4095621124411704,-10638.424466200115,-1678.4421040899701,240.60875103947114,362.09283730427956,173.26966363891648,240.60875103947114,-188.7112502080074,4
algo0.25,0.01,20,-250.0,1.5,362.1380092663297,415.89601073759997,2533.607065374944,2.5954669168757425,-10638.424466200115,-2570.7917692599235,335.6391807446249,379.7526673052283,164.35460273390038,300.7850273041957,-266.86955256800223,5
algo0.25,0.01,40,0.0,1.5,429.54908330453173,480.72308527360127,2623.5133296646927,2.8972215542015562,-10638.424466200115,-2703.362913190032,295.29964077421994,516.3563724301265,219.16053263826927,295.29964077421994,-206.91257132600876,5
algo0.25,0.01,40,-250.0,1.5,417.7839287281383,470.55434693600256,2644.2298118670424,2.813718180872062,-10638.424466200115,-2719.735741260124,293.370017488862,498.37696405250693,191.70802723476353,293.370017488862,-264.2199486800027,5
algo0.25,0.01,40,-500.0,1.5,417.7839287281383,470.55434693600256,2644.2298118670424,2.813718180872062,-10638.424466200115,-2719.735741260124,293.370017488862,498.37696405250693,273.69791515504005,293.370017488862,-138.1872593260066,3
algo0.25,0.0125,0,0.0,1.5,544.0607381476673,595.6736134272007,2900.9062955020304,3.246718729614501,-10638.424466200115,-3393.3940034900265,356.31384913087015,666.1781393071752,360.82245770973174,295.88177022669953,-40.37645167000491,1
algo0.25,0.0125,20,0.0,1.5,463.5279090619029,513.8648893463997,2677.4698210227675,3.034550468442419,-10638.424466200115,-2703.362913190032,288.64349688323875,576.8808276897446,283.80842328166193,229.10753434941324,-149.51828254200635,1
algo0.25,0.0125,20,-250.0,1.5,501.9560505167089,553.1742012223987,2793.9010559747194,3.1305518407071813,-10638.424466200115,-2825.9120756599586,398.09694678278555,570.1441622948678,267.6519491633905,187.38443546090983,-139.3311997940077,4
algo0.25,0.0125,40,0.0,1.5,570.8087169130621,619.7823620767997,2870.417928396848,3.4140044527531344,-10638.424466200115,-2960.1801558900333,358.22660151129685,708.7058666523612,341.8172638991445,358.22660151129685,-168.76567078401098,1
