vol_window,soft_cut,hard_cut,high_scale,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe
3,0.006,0.01,0.5,567.0178893312284,614.0052430264009,2794.693576180411,3.4738246078168618,63750425.20999997,343.70012051055676,565.656280070087,"[np.float64(914.3813220777023), np.float64(511.0070489534303), np.float64(343.70012051055676), np.float64(493.5366287386588)]",3.615759779552303
3,0.006,0.01,0.75,632.3000249805609,687.9997059439994,3228.6651893963317,3.3692655829635703,72697888.09999998,352.1154439421429,627.5252346296396,"[np.float64(1081.63702660004), np.float64(533.155206065932), np.float64(352.1154439421429), np.float64(543.1932619104435)]",3.5124996893091556
3,0.006,0.012,0.25,527.3201878693665,569.0250054640039,2530.2140903533464,3.555855351759423,58298765.339999974,346.88643608854727,526.0040656800894,"[np.float64(789.042845375263), np.float64(499.81058732485945), np.float64(346.88643608854727), np.float64(468.276393931688)]",3.6751923904025974
3,0.006,0.012,0.5,625.7648552322365,672.2014050559998,2895.3015876424843,3.670925846576897,70772608.79999997,378.706986996219,618.2245455658458,"[np.float64(1002.7300005967104), np.float64(541.0453453498517), np.float64(378.706986996219), np.float64(550.4158493206021)]",3.769211188278718
3,0.006,0.012,0.75,718.8304817709031,775.0980417632,3428.802282993939,3.5742440356867275,83250777.91999997,403.6512541351424,704.7607924420738,"[np.float64(1212.5815015795486), np.float64(575.9316006988051), np.float64(403.6512541351424), np.float64(626.8788133547994)]",3.647702489963266
3,0.006,999.0,0.25,528.1265536441216,570.8662113728016,2567.738902518204,3.5152278633134353,59402065.719999984,334.683792670413,525.410435189445,"[np.float64(799.9516747726595), np.float64(479.2062966678397), np.float64(334.683792670413), np.float64(487.79997664686795)]",3.6065229629686204
3,0.006,999.0,0.5,625.5057863468003,675.7022017791975,3026.5372611911243,3.530037454044098,72992772.19999996,352.03249889814253,614.8488508976485,"[np.float64(1022.6370232709936), np.float64(496.28987141054415), np.float64(352.03249889814253), np.float64(588.4360100109138)]",3.559084952177702
3,0.006,999.0,0.75,716.5938970346526,780.2206900408007,3675.9613087969346,3.3559581438095565,86583775.76999998,361.6818913151637,697.5582814079909,"[np.float64(1240.4016568209013), np.float64(504.65208058589394), np.float64(361.6818913151637), np.float64(683.4974969100044)]",3.338881861576433
3,0.007,0.008,0.25,432.6383805797121,485.61365402560074,2686.7977445727456,2.857761088827495,57605866.04,300.2019818680978,431.84837909146563,"[np.float64(645.1261946672319), np.float64(366.5468877426626), np.float64(300.2019818680978), np.float64(415.5184520878701)]",2.955984743256418
3,0.007,0.008,0.5,438.64608940348006,494.6362345272014,2794.1813999400033,2.798989919532,60581055.85,255.93159021139365,428.74508081194415,"[np.float64(732.7398838236585), np.float64(342.15663884104015), np.float64(255.93159021139365), np.float64(384.15221037168425)]",2.8698627797093863
3,0.007,0.008,0.75,442.38853994286217,503.734236837599,2965.9347451313897,2.685405547826609,63554729.61000002,209.24687114880402,423.46201630004754,"[np.float64(818.587771470767), np.float64(316.5866758545892), np.float64(209.24687114880402), np.float64(349.42674672602993)]",2.7283700640381965
3,0.007,0.01,0.25,498.0924805125178,547.3995182119999,2723.16450849347,3.178341341901511,61362436.75,354.51795653302,502.6226173850887,"[np.float64(732.8375936270127), np.float64(436.73849173080765), np.float64(354.51795653302), np.float64(486.39642764951435)]",3.3177915567431002
3,0.007,0.01,0.5,567.2080618540622,618.8876145576015,2953.7244053923423,3.3129266801220774,68133917.78999999,360.4892960817335,567.7302238361528,"[np.float64(906.6690345189525), np.float64(479.1764644291329), np.float64(360.4892960817335), np.float64(524.5861003147926)]",3.456649802074131
3,0.007,0.01,0.75,632.3266859557415,690.4599735791967,3310.16923902747,3.29805818377346,74905762.65999998,360.5310674776208,628.5026195901826,"[np.float64(1077.826931429509), np.float64(517.0676766541073), np.float64(360.5310674776208), np.float64(558.5848027994933)]",3.4416371193353923
3,0.007,0.012,0.25,528.305780702868,576.3056878288021,2746.631695147525,3.3175882395675687,64853680.539999984,372.52528013831505,529.6224050748598,"[np.float64(777.8306329427102), np.float64(452.72094456241985), np.float64(372.52528013831505), np.float64(515.412762655994)]",3.4428894920401025
3,0.007,0.012,0.5,626.286058810192,677.0855786319985,3048.997017309071,3.5112080910132075,75151426.93999998,395.7212268146431,620.5075274012387,"[np.float64(995.2849476973677), np.float64(509.4635862540133), np.float64(395.7212268146431), np.float64(581.5603488389307)]",3.6161182166163637
3,0.007,0.012,0.75,719.0953525322036,777.5609887551987,3505.5935950107705,3.5070576173725674,85451784.76000004,412.2278822770763,705.8897718174596,"[np.float64(1208.940771862471), np.float64(560.0141346232949), np.float64(412.2278822770763), np.float64(642.3762985069967)]",3.5846529267947034
3,0.007,999.0,0.25,529.1656181103637,578.1478583935998,2781.201394366772,3.2868242849571385,65954569.27999999,360.3851671080621,528.9863608661847,"[np.float64(788.8108884189381), np.float64(431.8366176595274), np.float64(360.3851671080621), np.float64(534.9127702782109)]",3.3907468893407864
3,0.007,999.0,0.5,626.1235887656774,680.5889513871958,3173.8402660002753,3.390547501373476,77365150.25999999,369.2220842662489,617.1110437175244,"[np.float64(1015.2707297652295), np.float64(464.3539368708656), np.float64(369.2220842662489), np.float64(619.5974239677537)]",3.4363639402170616
3,0.007,999.0,0.75,716.9385039294376,782.6871142967991,3747.662945525505,3.3021565872105962,88776089.45000003,370.42023884538503,698.6931637869333,"[np.float64(1236.813524202021), np.float64(488.52109881977526), np.float64(370.42023884538503), np.float64(699.0177932805519)]",3.2946448684852943
3,0.008,0.01,0.25,510.2272718618587,574.4387660688022,3222.094688328624,2.818872585672431,70364814.34000002,215.83666905118554,487.9189374099971,"[np.float64(990.0972320906615), np.float64(360.974679993326), np.float64(215.83666905118554), np.float64(384.76716850481563)]",2.878744955742313
3,0.008,0.01,0.5,574.0672945074867,636.9080231848038,3331.853732048609,3.022461631382811,74150867.90999998,266.76678336562037,556.8272432899576,"[np.float64(1076.8296279132246), np.float64(428.35064511524934), np.float64(266.76678336562037), np.float64(455.361916765736)]",3.11801778792715
3,0.008,0.01,0.75,635.2530241138002,699.3864609040003,3513.6306856241895,3.147249069445171,77937801.22,313.0875808217395,622.5677837291419,"[np.float64(1162.406575071058), np.float64(491.3486188826925), np.float64(313.0875808217395), np.float64(523.4283601410776)]",3.2685746806589147
3,0.008,0.012,0.25,540.8873979091652,603.3457760936017,3241.740158225676,2.9427819257143035,73853957.11000003,234.3344484972165,515.349270178844,"[np.float64(1035.0749612753675), np.float64(377.2784354698595), np.float64(234.3344484972165), np.float64(414.7092354729325)]",2.9928099677600715
3,0.008,0.012,0.5,633.8625236644287,695.1074564592,3416.32748598642,3.2170844130048515,81164704.05999997,302.76056939599124,610.3035045026116,"[np.float64(1165.7888637862327), np.float64(459.0281241398291), np.float64(302.76056939599124), np.float64(513.6364606883935)]",3.281616395967294
3,0.008,0.012,0.75,722.5857161851272,786.4897515760032,3698.1330152672376,3.362641312646847,88478134.58000003,365.3071812410411,700.482296381077,"[np.float64(1293.8966605928713), np.float64(534.5527634236072), np.float64(365.3071812410411), np.float64(608.1725802667884)]",3.4247079469628545
3,0.008,999.0,0.25,541.8688969272855,605.1889461303982,3271.029805673844,2.925340944936389,74952347.17000003,221.96584529468743,514.7853975634268,"[np.float64(1046.367107126552), np.float64(355.99743534918036), np.float64(221.96584529468743), np.float64(434.8112024832875)]",2.9545427898761214
3,0.008,999.0,0.5,633.9395907336408,698.6128379823957,3528.133115938892,3.130845263006263,83373405.45999996,275.96511224323723,607.0706577064522,"[np.float64(1186.457029710968), np.float64(413.4049399077153), np.float64(275.96511224323723), np.float64(552.455548963888)]",3.1378902249050853
3,0.008,999.0,0.75,720.6356068035935,791.6188511496023,3928.3140129909516,3.186250640962076,91795004.19000006,323.38823182013624,693.4577678484569,"[np.float64(1322.3515750227148), np.float64(462.73133618233925), np.float64(323.38823182013624), np.float64(665.3599283686375)]",3.162865339401632
3,0.01,0.012,0.25,724.6863495585757,790.6696632704022,3772.3076205518905,3.3140417805680573,85290676.88000005,374.3891123269065,713.0952457984167,"[np.float64(1291.6849987500116), np.float64(567.7569523426603), np.float64(374.3891123269065), np.float64(618.5499197740885)]",3.4470822313396368
