top_n,window,start_day,end_day,days,total_pl,mean_pl,std_pl,ann_sharpe,score,worst_day,best_day,positive_day_rate,max_drawdown
25,301-351,301,351,50,38063.092394999934,761.2618478999987,977.3553514673175,12.315486539969923,756.2755649308555,-2107.555983999988,3012.3953520000105,0.8,-2107.555983999988
25,326-376,326,376,50,36153.2224129999,723.064448259998,1032.934667034597,11.068127658832763,717.2098389433505,-2107.5559839999914,3012.3953520000105,0.72,-2107.5559839999914
25,351-401,351,401,50,29261.45366100004,585.2290732200008,1027.1670900945794,9.008548084198495,578.1055063734492,-989.9953200000018,2819.2238209999996,0.64,-1261.9363819999853
25,376-426,376,426,50,23251.74834,465.03496679999995,971.3813129109387,7.569476925090967,457.0579676575869,-1477.155176999995,2752.0118000000075,0.6,-2680.237518999973
25,401-451,401,451,50,26436.26997899999,528.7253995799998,971.2228152030292,8.60758465144744,521.6842252064106,-1477.155176999995,2790.9726990000127,0.66,-1851.4630409999918
25,426-476,426,476,50,24457.72247599998,489.1544495199996,1031.3700178768893,7.498968174745296,480.6079566339062,-2098.2773610000077,2790.9726990000127,0.72,-4148.391420000018
30,1-51,1,51,50,6177.909867000017,123.55819734000033,744.5499697362702,2.6239026463016266,107.88789787187106,-1849.8072349999984,1504.0998340000078,0.56,-4226.685786000013
30,26-76,26,76,50,16674.34018900001,333.4868037800002,889.2770582221418,5.929411198703253,324.2637392358285,-1849.8072349999984,2240.2317010000115,0.72,-4226.685786000013
30,51-101,51,101,50,15173.280119999967,303.46560239999934,1280.6316576148238,3.7467545386406877,283.2859122501828,-2910.07555999999,2747.787224000007,0.68,-3465.8094749999946
30,76-126,76,126,50,23155.870243000056,463.1174048600011,1473.1186418118775,4.97076671849951,445.1032456248689,-2910.0755599999893,3871.401106000005,0.66,-2994.3385059999855
30,101-151,101,151,50,52425.874534000046,1048.517490680001,1154.4782260130805,14.360181778931212,1043.4574400184856,-1436.7676759999886,3871.401106000005,0.84,-2335.1617249999854
30,126-176,126,176,50,41118.26335100001,822.3652670200001,1247.0245943843418,10.42700891428547,814.8703124267694,-1985.962513999999,3445.4262009999948,0.74,-2968.2778880000187
30,151-201,151,201,50,32249.22139900001,644.9844279800002,1381.469716929619,7.382064994847611,633.3620154929927,-2175.2360259999987,4479.876917000009,0.66,-2968.2778880000224
30,176-226,176,226,50,42409.82532100008,848.1965064200016,1193.9243418575513,11.23284269215803,841.5270760923052,-2175.2360260000023,4479.876917000009,0.8,-2587.6549479999812
30,201-251,201,251,50,44789.71101800012,895.7942203600023,1187.0497209372047,11.931892999881507,889.5460946747936,-2532.231545999988,3751.573942999996,0.78,-3007.430479999988
30,226-276,226,276,50,36708.93590500005,734.178718100001,1244.7516341377739,9.325864273425484,725.8330984613259,-2532.2315459999845,3751.573942999992,0.74,-3007.430479999988
30,251-301,251,301,50,33052.95120900001,661.0590241800003,1178.386459176926,8.869977111232476,652.7622356119263,-2440.7488189999967,2896.7348839999904,0.78,-2470.968549999987
30,276-326,276,326,50,38695.81934799999,773.9163869599998,1208.327300702602,10.126968495616993,766.4429407897383,-1747.3638469999933,2896.7348839999904,0.76,-2470.968549999983
30,301-351,301,351,50,38127.89189999991,762.5578379999981,1145.2883324718432,10.527565623973457,755.7389136802703,-2176.4613329999956,3306.8647310000015,0.76,-2176.4613329999956
30,326-376,326,376,50,36888.11160099988,737.7622320199976,1194.0350384123842,9.769432846521909,730.1124153094876,-2176.461333000003,3760.89942099998,0.7,-2176.461333000003
30,351-401,351,401,50,34425.26039900001,688.5052079800003,1223.7680854671864,8.895658678962658,679.9131496110231,-1378.5563560000082,3760.89942099998,0.64,-1627.1179600000105
30,376-426,376,426,50,30042.170928000065,600.8434185600013,1120.7378339258585,8.476709102947916,592.5962599520329,-1665.7289329999912,3526.0252570000084,0.68,-2945.1004319999684
30,401-451,401,451,50,32168.439857000063,643.3687971400012,1099.3308088299418,9.253405608684034,635.9417845043477,-1665.7289329999876,3091.676052000006,0.68,-1708.8545360000098
30,426-476,426,476,50,29159.622226000058,583.1924445200011,1171.4313053562619,7.871637160677183,573.9299334193983,-2155.8792220000105,3091.676052000006,0.7,-3373.0196650000144
